-1224,-536
-1048,-296
-968,-352
-1000,-552
-1960,3576
984,-632
-640,1544
-2896,3056
-4008,376
-1056,-2392
1720,1320
-704,3568
-3968,2616
-4576,-296
-344,-1104
912,2816
-2416,3672
-3768,-328
-456,-1368
-3512,4768
40,-1936
16,-1960
176,-1832
0,-2080
-40,-2088
64,-1864
-16,-1944
-16,-2024
112,-2008
0,-2000
32,-2000
-8,-1936
16,-2032
144,-2000
48,-1920
8,-2000
24,-1944
88,-1944
120,-2040
-8,-1976
-64,-2032
56,-2032
0,-1952
-16,-1976
48,-1952
104,-2064
-64,-2048
-80,-2024
80,-2040
-8,-2024
16,-1992
56,-1896
16,-2056
32,-2056
40,-2112
160,-2152
32,-2128
64,-1952
120,-2048
16,-2000
24,-2064
112,-1984
64,-2048
40,-1984
24,-1944
72,-2008
80,-2072
-24,-2048
72,-2056
40,-2032
